membership,correct,n,proportion,CI_low,CI_high
ADDED_BY_REFINEMENT,10,20,0.5,0.2992980081982123,0.7007019918017877
REMOVED_BY_REFINEMENT,7,63,0.1111111111111111,0.05487548662383722,0.21204655750082524
SHARED,16,32,0.5,0.33630882869327483,0.6636911713067252
